Comment,Designator,Footprint,LCSC
100uF,"C1,C2",CP_Radial_D6.3mm_P2.50mm,C106552
100uF,C9,CP_EIA-3216-18_Kemet-A,C122251
74LCV245,"U2,U3,U4,U5",SOIC-20W_7.5x12.8mm_P1.27mm,C15908
0.1 uF,"C3,C4,C5,C6,C7,C8",C_0805_2012Metric,C1711
10k,"R1,R3",R_0805_2012Metric,C17414
1k,R2,R_0805_2012Metric,C17513
SW-MOM,S1,SW_PUSH_6mm_H5mm,C2799127
GRN,D1,LED_D3.0mm,C2895476
3 pin Header,J4,PinHeader_1x03_P2.54mm_Vertical,C2937625
74LVC07,U6,SOIC-14_3.9x8.7mm_P1.27mm,C7659
292303-1,J2,TE_292303-1,C86461
J1B1211CCD,J3,CONN12_J1B1211CCD_WIZ,C910371
C64-EXPANSION-PORT,J1,EXPANSIO_SQ,
TEENSY41,U1,Teensy41,
SHORTSMT,JP1,SHORT,
