Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,CP_Radial_D6.3mm_P2.50mm,121.4501,-79.6036,90.0,top
C2,100uF,CP_Radial_D6.3mm_P2.50mm,121.4501,-85.9536,90.0,top
C3,0.1 uF,C_0805_2012Metric,122.8471,-119.3546,90.0,top
C4,0.1 uF,C_0805_2012Metric,157.5181,-118.9736,-90.0,top
C5,0.1 uF,C_0805_2012Metric,150.5331,-118.4656,-90.0,top
C6,0.1 uF,C_0805_2012Metric,156.7561,-121.6406,90.0,bottom
C7,0.1 uF,C_0805_2012Metric,134.4041,-120.1166,270.0,bottom
C8,0.1 uF,C_0805_2012Metric,140.3731,-86.2076,270.0,bottom
C9,100uF,CP_EIA-3216-18_Kemet-A,157.7721,-84.4296,270.0,bottom
D1,GRN,LED_D3.0mm,164.262566,-74.259229,0.0,top
J1,C64-EXPANSION-PORT,EXPANSIO_SQ,148.304449,-139.301657,180.0,top
J2,292303-1,TE_292303-1,157.963176,-80.407037,180.0,top
J3,J1B1211CCD,CONN12_J1B1211CCD_WIZ,133.2611,-79.6036,180.0,top
J4,3 pin Header,PinHeader_1x03_P2.54mm_Vertical,177.0511,-86.8276,180.0,top
JP1,SHORTSMT,SHORT,133.0071,-78.9686,270.0,bottom
R1,10k,R_0805_2012Metric,173.5201,-80.3656,270.0,bottom
R2,1k,R_0805_2012Metric,167.1701,-78.3336,270.0,bottom
R3,10k,R_0805_2012Metric,172.6311,-85.9536,270.0,bottom
S1,SW-MOM,SW_PUSH_6mm_H5mm,170.533649,-72.824288,0.0,top
U1,TEENSY41,Teensy41,148.503358,-98.6379,0.0,top
U2,74LCV245,SOIC-20W_7.5x12.8mm_P1.27mm,165.016498,-119.596122,0.0,bottom
U3,74LCV245,SOIC-20W_7.5x12.8mm_P1.27mm,142.793994,-119.662633,0.0,bottom
U4,74LCV245,SOIC-20W_7.5x12.8mm_P1.27mm,142.1511,-120.2436,180.0,top
U5,74LCV245,SOIC-20W_7.5x12.8mm_P1.27mm,165.6461,-120.2436,180.0,top
U6,74LVC07,SOIC-14_3.9x8.7mm_P1.27mm,128.8161,-118.3386,180.0,top
